Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales £000s,Staff,Comments
1,Plan.comCommunications provider,http://www.plan.com,Communications provider,Isle of Man,Sep-17,364.38%,35418,90,"About 650 partners use its telecoms platform to support more than 100,000 UK business customers"
2,PsiOxusBiotechnology developer,http://www.psioxus.com,Biotechnology developer,Oxfordshire,Dec-17,311.67%,53136,54,Received a $15m milestone payment from its development partner Bristol-Myers Squibb in December
3,CensorNetCloud security software developer,http://www.censornet.com,Cloud security software developer,Basingstoke,Dec-17,210.17%,7535,77,"Has more than 4,000 customers, including McDonald’s in France and the European Central Bank"
4,thoughtonomyAutomation software developer,http://www.thoughtonomy.com,Automation software developer,East London,May-18,205.20%,16916,100,It sells to 28 countries and 50% of revenue is generated from overseas
5,PerkboxEmployee engagement services,http://www.perkbox.com,Employee engagement services,Central London,Dec-17,204.12%,34700,200,Acquired software platform Loyalty Bay for an undisclosed sum in November
6,OguryMobile data marketing,http://www.ogury.com,Mobile data marketing,North London,Dec-17,204.09%,33760,133,It has access to data from more than 400m mobile phone users in 120 countries
7,VerveMarketing software developer,http://www.verve.co,Marketing software developer,Central London,Dec-17,202.15%,10747,130,"Its network of 25,000 ‘micro-influencers’ have sold half a million event tickets since 2014"
8,goHenryChildren's pre-paid card developer,http://www.gohenry.co.uk,Children's pre-paid card developer,Central London,Dec-17,200.87%,6116,61,The company is named after the first child to make a transaction with one of its cards
9,DarktraceCybersecurity developer,http://www.darktrace.com,Cybersecurity developer,Cambridge,Jun-18,195.51%,58573,694,Was reportedly valued at $1.25bn in April when Vitruvian Partners bought a small stake
10,BizumaB2B e-commerce platform,http://www.bizuma.com,B2B e-commerce platform,Central London,Mar-18,181.75%,9608,48,Originally founded as a flash sales website before changing direction in 2014
11,DepopSocial shopping app,http://www.depop.com,Social shopping app,Central London,Dec-17,175.70%,94300,95,More than 10m people use its platform to buy and sell vintage clothing
12,Laser Wire SolutionsLaser wire-stripping machinery,http://www.laserwiresolutions.com,Laser wire-stripping machinery,Pontypridd,Dec-17,173.41%,5114,26,Swiss technology group Schleuniger took a 20% stake in 2016
13,Bought By ManySpecialist insurance platform,http://www.boughtbymany.com,Specialist insurance platform,Central London,Mar-18,170.20%,19727,78,Launched its own travel insurance policy for people with severe medical conditions in December
14,OptalPayment services provider,http://www.optal.com,Payment services provider,Central London,Dec-17,169.29%,177653,65,Uses the Mastercard processing network to facilitate payments in 34 currencies
15,InfinoxCurrency trading platform,http://www.infinox.com,Currency trading platform,Central London,Mar-18,155.18%,41700,48,Provides users with an AI-generated news feed that could affect currency trades
16,OakbrookConsumer finance provider,http://www.oakbrookfinance.com,Consumer finance provider,Nottingham,Dec-17,154.54%,40400,98,Uses machine learning to help estimate borrowers’ credit risk
17,CarwowCar sales platform,http://www.carwow.co.uk,Car sales platform,Central London,Dec-17,147.21%,15276,127,Claims its car review videos have more viewers than the hit BBC series Top Gear
18,Receipt BankBook-keeping automation services,http://www.receipt-bank.com,Book-keeping automation services,Central London,Dec-17,146.07%,11667,341,"Says 150,000 businesses in America, Europe and Australia use its book-keeping software"
19,dB BroadcastBroadcast technology provider,http://www.dbbroadcast.co.uk,Broadcast technology provider,Cambridgeshire,Sep-17,143.58%,34943,50,"Its key customers include Sky, YouTube, Bloomberg and the BBC"
20,The Car Buying GroupCar sales platform,http://www.thecarbuyinggroup.co.uk,Car sales platform,Wakefield,Mar-18,140.89%,39140,31,Runs a free nationwide doorstep vehicle collection service
21,FesticketFestival booking platform,http://www.festicket.com,Festival booking platform,Central London,Dec-17,139.86%,35839,88,"Sells tickets and packages to more than 1,000 festivals worldwide"
22,PlanixsSoftware developer,http://www.planixs.com,Software developer,Manchester,Mar-17,133.70%,7240,67,More than £200bn worth of transactions have been analysed using its systems
23,GigaclearInternet services provider,http://www.gigaclear.com,Internet services provider,Oxfordshire,Dec-17,130.17%,7402,210,"Has connected more than 16,000 rural customers to broadband in 22 counties"
24,TransferWiseCurrency transfer provider,http://www.transferwise.com,Currency transfer provider,East London,Mar-18,129.39%,117283,1000,"Was valued at $1.6bn in November after it raised $280m, taking its funding total to $396m"
25,PatSnapR&D data platform,http://www.patsnap.com,R&D data platform,West London,Dec-17,126.18%,17977,752,Has raised more than $100m from investors including Sequoia and Shunwei Capital
26,HyperopticInternet services provider,http://www.hyperoptic.com,Internet services provider,West London,Dec-17,119.90%,16572,411,Aims to provide superfast broadband to more than 2m homes by 2022
27,GoCardlessPayment services provider,http://www.gocardless.com,Payment services provider,Central London,Dec-17,112.99%,11896,165,"International expansion plans include targeting Australia, New Zealand, Canada and the US"
28,PurpleWifi services provider,http://www.purple.ai,Wifi services provider,Oldham,Jan-18,112.88%,5586,93,"Its technology is used in every public airport in Spain and in a 21,000-capacity stadium in Miami"
29,Trustpay GlobalOnline payment provider,http://www.trustpayglobal.com,Online payment provider,Guildford,Mar-18,110.45%,9796,25,The Premier Lotto in Nigeria uses the company’s platform to prevent money laundering
30,iwocaBusiness finance provider,http://www.iwoca.co.uk,Business finance provider,Central London,Dec-17,109.27%,25000,200,Its 140 employees include three former Olympians
31,LADBible GroupOnline entertainment community,http://www.theladbible.com,Online entertainment community,Manchester,Dec-17,108.91%,15500,133,Claims its flagship brand reaches more than half of all millennials in the UK every month
32,Threads StylingOnline fashion services,http://www.threadsstyling.com,Online fashion services,East London,Dec-17,107.88%,12672,55,Some three-quarters of its sales are to fashionistas in the Middle East
33,Prodigy FinanceStudent finance provider,http://www.prodigyfinance.com,Student finance provider,Central London,Dec-17,105.94%,10273,133,"More than 10,000 students have used its platform to fund their postgraduate studies"
34,AzimoOnline money transfers,http://www.azimo.com,Online money transfers,Central London,Jun-17,103.79%,5870,115,Recently launched its international money transfer service for businesses
35,ChameleonSmart energy monitoring,http://www.chameleontechnology.co.uk,Smart energy monitoring,Harrogate,Dec-17,101.10%,19890,32,About 2.5m of its energy display units have been installed in UK homes
36,SuperAwesomeChildren's privacy protection,http://www.superawesome.tv,Children's privacy protection,Central London,Dec-17,97.91%,14935,130,"Last month it signed a deal with Pokémon Go, allowing parents to manage their child’s privacy settings"
37,GoustoMeal kit delivery services,http://www.gousto.co.uk,Meal kit delivery services,West London,Dec-17,97.32%,23300,400,Aims to provide the ingredients for 400m meals in UK homes by 2025
38,VizolutionBusiness software developer,http://www.vizolution.co.uk,Business software developer,Swansea,Dec-17,94.99%,6965,118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
39,MoveGBActivity membership,http://www.movegb.com,Activity membership,Bath,Dec-17,94.93%,5029,41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
40,BBOXXSolar system manufacturer,http://www.bboxx.co.uk,Solar system manufacturer,West London,Dec-17,93.35%,20416,443,Has raised almost $70m in venture funding and debt financing
41,Funding CirclePeer-to-peer lending platform,http://www.fundingcircle.com,Peer-to-peer lending platform,Central London,Dec-17,93.21%,94500,790,Is planning an IPO in London this autumn that will value it at more than £1.5bn 
42,LoopMeAdvertising technology developer,http://www.loopme.com,Advertising technology developer,Central London,Dec-17,93.04%,24493,91,Says its AI technology reaches 2bn devices around the world
43,KanoEducational computer developer,http://www.kano.me,Educational computer developer,East London,Dec-17,91.81%,13000,60,Has customers in 150 countries and aims to have 100m global users by 2020
44,Capital on TapBusiness finance provider,http://www.capitalontap.com,Business finance provider,West London,Mar-18,88.73%,17318,56,"This company’s founders also set up Paymentsense, No 91 in the league table"
45,HutchVideo games developer,http://www.hutchgames.com,Video games developer,Central London,Sep-17,88.63%,8766 (2017),51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
46,ENSEKEnergy software developer,http://www.ensek.co.uk,Energy software developer,Nottingham,Mar-18,87.56%,6161,110,A fifth of the UK’s energy suppliers are said to use this company’s software
47,MiQDigital marketing agency,http://www.wearemiq.com,Digital marketing agency,Central London,Dec-17,87.36%,155876,561,"Relocated its New York base in April, tripling its office space"
48,StarLeafVideo conferencing platform,http://www.starleaf.com,Video conferencing platform,Watford,Dec-17,86.89%,11427,133,Its founders set up the Tech Track 100 alumnus Codian and sold it for $270m in 2007
49,BigChangeManagement software developer,http://www.bigchangeapps.com,Management software developer,Leeds,Dec-17,86.45%,6566,41,Last year its technology saved 15m sheets of paper and facilitated 9m tasks
50,The Lead AgencyLead generation developer,http://www.theleadagency.com,Lead generation developer,Liverpool,Dec-17,80.38%,6383,96,Works with every large automotive brand in the UK
51,UNiDAYSStudent verification services,http://www.myunidays.com,Student verification services,Nottingham,Apr-18,80.03%,27400,210,Connects brands with 10m students in 114 countries
52,FarfetchOnline fashion platform,http://www.farfetch.com,Online fashion platform,East London,Dec-17,78.31%,299812,"2,700",Has announced plans to float in the US with a reported $5bn valuation
53,Assetz CapitalPeer-to-peer lending platform,http://www.assetzcapital.co.uk,Peer-to-peer lending platform,Manchester,Mar-18,77.91%,13700,98,"Has funded the construction of 1,800 new homes since 2013"
54,iPulseHair removal technology,http://www.cyden.com,Hair removal technology,Swansea,Dec-17,77.12%,32874,39,Almost 95% of its hair removal devices are sold overseas
55,GiacomCloud services provider,http://www.giacom.com,Cloud services provider,Hull,Jul-17,76.14%,13883,49,"It now reaches more than 500,000 end users across the UK"
56,Arcus GlobalCloud IT developer,http://www.arcusglobal.com,Cloud IT developer,Cambridge,Jun-17,75.57%,9681,110,"In May it secured a £3m investment from the private equity firm YFM, valuing it at £27m"
57,disguiseLive event technology provider,http://www.disguise.one,Live event technology provider,Central London,Dec-17,75.46%,17971,59,Customers include the likes of Disney and Universal Studios
58,Tech21Device impact protection maker,http://www.tech21.com,Device impact protection maker,Southwest London,May-17,75.34%,121576,81,Became an inaugural member of Google’s certified accessories programme last year
59,VictorOnline private jet hire,http://www.flyvictor.com,Online private jet hire,Central London,Dec-17,74.13%,41508,113,Counts Sir Elton John among its investors
60,CinesiteVisual effects and animation,http://www.cinesite.com,Visual effects and animation,Central London,Apr-17,74.11%,43888,699,Is producing visual effects for Mary Poppins Returns and the Marvel franchise
61,Biosite SystemsWorkforce management software,http://www.biositesystems.com,Workforce management software,Solihull,Jul-17,74.04%,6401,117,"More than 200,000 of the UK’s construction workers are registered on its systems"
62,EcometricaEnvironmental reporting software,http://www.ecometrica.com,Environmental reporting software,Edinburgh,Mar-18,71.67%,5496,40,Helps 250 companies on five continents to manage their environmental impacts
63,Qualasept PharmaxoPharmaceuticals manufacturer,http://www.bathasu.com,Pharmaceuticals manufacturer,Wiltshire,Apr-17,70.89%,152744,156,Its manufacturing facility and offices have a zero carbon footprint
64,EdesixBody camera manufacturer,http://www.edesix.com,Body camera manufacturer,Edinburgh,Dec-17,70.52%,5900,47,Founders Richie McBride and Robin Iddon competed on the TV show Robot Wars
65,LendInvestProperty finance provider,http://www.lendinvest.com,Property finance provider,Central London,Mar-18,70.13%,35617,128,Has facilitated more than £1.4bn of property loans
66,E3D Online3D printer developer,http://www.e3d-online.com,3D printer developer,Oxfordshire,Apr-18,69.08%,5800,41,Has grown its exports to account for 75% of its total sales
67,LystFashion search platform,http://www.lyst.com,Fashion search platform,East London,Mar-18,68.34%,15300,100,"LVMH, the owner of Christian Dior and Louis Vuitton, invested an undisclosed amount in May"
68,DiaceuticsMedtech research provider,http://www.diaceutics.com,Medtech research provider,Belfast,Dec-17,67.80%,7390,57,Works with 31 of the top 35 pharmaceutical companies in the world
69,AmplienceDigital media technology,http://www.amplience.com,Digital media technology,Central London,Jun-17,66.25%,8147,85,Helps retailers such as Argos and Mulberry to create and manage online content
70,GlucoRxDiabetes product manufacturer,http://www.glucorx.co.uk,Diabetes product manufacturer,Woking,Mar-17,65.52%,24885,26,Claims to have saved the NHS £150m in the past three years
71,Love Energy SavingsPrice comparison website,http://www.loveenergysavings.com,Price comparison website,Bolton,Dec-17,64.26%,17361,183,"Has helped 145,000 UK homes and businesses save on energy costs since 2007"
72,Creative VirtualChatbot developer,http://www.creativevirtual.com,Chatbot developer,East London,Dec-17,63.30%,8400,99,Its trademarked chatbot can be used through Facebook Messenger and Amazon Alexa
73,EburyBusiness finance provider,http://www.eburypartners.com,Business finance provider,Central London,Apr-18,62.77%,47000,628,Has traded £12.5bn in foreign exchange in 140 different currencies
74,ZappiStoreResearch services provider,http://www.zappistore.com,Research services provider,Central London,Dec-17,61.62%,19323,128,Holds weekly hackathons with its clients and programmers
75,BlisLocation data technology,http://www.blis.com,Location data technology,Central London,Dec-17,61.28%,33400,186,Analyses more than 5.5bn data points each day
76,BookingBugBooking systems developer,http://www.bookingbug.co.uk,Booking systems developer,Central London,Mar-18,60.61%,6937,117,Raised nearly £10m in April from backers including PeakSpan Capital and Downing Ventures
77,EgressData security provider,http://www.egress.com,Data security provider,Central London,Dec-17,60.22%,9403,115,Users of its platform can revoke access to emails after they have reached the recipient’s inbox
78,Contis GroupPayment services provider,http://www.contisgroup.com,Payment services provider,North Yorkshire,Mar-17,59.56%,7161,86,Appointed the former European boss of American Express to drive sales on the continent
79,PM ConnectMobile content provider,http://www.pmconnect.co.uk,Mobile content provider,Birmingham,Feb-18,59.44%,19317,35,Its clients include World Wrestling Entertainment and the NBA
80,ZopaPeer-to-peer lending platform,http://www.zopa.com,Peer-to-peer lending platform,South London,Dec-17,59.43%,46500,312,About £3.5bn has been advanced through its platform
81,WorldRemitOnline money transfers,http://www.worldremit.com,Online money transfers,Central London,Dec-17,59.07%,61000,440,Has raised $220m since 2010 to expand its online money transfer service
82,DianomiFinancial content marketing,http://www.dianomi.com,Financial content marketing,Central London,Dec-17,58.99%,12861,25,Works with eight of the top 10 global asset managers
83,LiberisCash advance provider,http://www.liberis.co.uk,Cash advance provider,West London,Dec-17,57.99%,15150,75,Received £57.5m in funding in April from investors including Blenheim Chalcot
84,CurrencycloudPayment services provider,http://www.thecurrencycloud.com,Payment services provider,East London,Dec-17,57.48%,13600,140,Has 250 clients and 2m end users across the world
85,FeaturespaceAnalytics software developer,http://www.featurespace.co.uk,Analytics software developer,Cambridge,Dec-17,57.48%,5170,113,"Is recruiting for more than 100 positions this year, following customer demand in UK and US"
86,Cloud Technology SolutionsCloud IT developer,http://www.cloudsolutions.co.uk,Cloud IT developer,Manchester,Mar-18,57.21%,21902,102,"Its software has moved nearly 12,000 companies in 20 countries onto Google Apps"
87,Leisure Pass GroupTourism smartcard developer,http://www.leisurepassgroup.com,Tourism smartcard developer,Central London,Dec-17,57.16%,225803,105,Has partnered with the booking platform Ctrip to target Chinese tourists visiting Europe
88,rradarLegal digital services,http://www.rradar.com,Legal digital services,Hull,Dec-17,57.03%,5083,125,Uses machine learning and AI to provide legal advice to customers
89,Converge TSCloud services provider,http://www.cts.co.uk,Cloud services provider,Cheshire,Dec-17,55.00%,5802,38,Focused solely on the legal sector after its first three clients were all law firms
90,Kimble ApplicationsSoftware developer,http://www.kimbleapps.com,Software developer,Central London,Dec-17,54.67%,9153,78,"More than half of its new business is in the US, where it has offices in Boston and Park City"
91,PaymentsensePayment services provider,http://www.paymentsense.co.uk,Payment services provider,West London,Mar-18,53.54%,72400,243,Processed more than £6.5bn of card payments last year in the UK and Ireland
92,Godel TechnologiesSoftware developer,http://www.godeltech.com,Software developer,Manchester,Dec-17,53.01%,13853,637,Is named after the late German mathematician Kurt Gödel
93,Secret EscapesOnline travel services,http://www.secretescapes.com,Online travel services,Central London,Dec-17,52.99%,73000,850,Has raised £132m from investors including Google Ventures
94,NeuvenHR software developer,http://www.neuven.co.uk,HR software developer,Manchester,Jul-17,52.23%,130071,28,Appearing on Tech Track 100 for a fourth consecutive year
95,CitNOWVideo software developer,http://www.citnow.com,Video software developer,Wokingham,Dec-17,51.85%,11611,71,"Has more than 8,000 installations in franchised car dealerships in 45 countries"
96,geoSmart energy monitoring,http://www.geotogether.com,Smart energy monitoring,Cambridge,Mar-18,51.24%,29406,85,"Customers in Norway, Sweden and Luxembourg use its smart energy monitoring devices"
97,Vision RTMedical technology developer,http://www.visionrt.com,Medical technology developer,North London,Jul-17,50.99%,32468,132,Has secured 60 patents and has another 46 pending
98,ThreadOnline fashion services,http://www.thread.com,Online fashion services,Central London,Dec-17,50.77%,6492,60,"More than 800,000 men subscribe to its free personal styling service"
99,The Media ImageDigital marketing agency,http://www.the-media-image.com,Digital marketing agency,South London,Feb-18,50.38%,27515,37,Founded by the man who was Google UK’s first recruit when it launched its AdWords service in 2002
100,Brompton TechnologyVideo technology provider,http://www.bromptontech.com,Video technology provider,West London,Aug-17,50.17%,5250,27,Its technology is used in high-profile events such as the Oscars
